nazwa_instytucji,badges,lokalizacja,adres,rodzaj_dzialalnosci,ilosc_miejsc,wpis_krdo,strona
Dom Pomocy Społecznej im. Marii Kaczyńskiej Kotlin,,Powiat jarociński,"Parkowa 5,
									63-220
									Kotlin",dla dorosłych niepełnosprawnych intelektualnie (Publiczny),123,378/KR - 2021,77
Dom Pomocy Społecznej Piłka – Zamyślin,,Powiat międzychodzki,"Zamyślin,
									64-400
									Międzychód",- 100 miejsc dla dorosłych niepełnosprawnych intelektualnie Oddział Piłka - 40 miejsc dla osób w podeszłym wieku Oddział Zamyślin (Publiczny),140,380/KR - 2021,78
Dom Pomocy Społecznej Rzadkowo,,Powiat pilski,"Rzadkowo 79,
									64-810
									Kaczory",dla dzieci i młodzieży niepełnosprawnych intelektualnie (Publiczny),66,385/KR - 2021,78
Dom Pomocy Społecznej Kobyla Góra,,Powiat ostrzeszowski,"Tomasza Sikorskiego 1,
									63-507
									Kobyla Góra",dla dorosłych niepełnosprawnych intelektualnie (Publiczny),156,388/KR - 2021,78
Dom Pomocy Społecznej Falmierowo,,Powiat pilski,"Falmierowo 1,
									89-311
									Wyrzysk",dla dorosłych niepełnosprawnych intelektualnie (Publiczny),80,390/KR - 2021,79
Dom Pomocy Społecznej Dębno,,Powiat pilski,"Dębno 27,
									89-310
									Łobżenica",dla dorosłych niepełnosprawnych intelektualnie (Publiczny),120,395/KR - 2021,79
Dom Pomocy Społecznej Ślesin,,Powiat koniński,"Kościelna 46,
									62-561
									Ślesin",dla dorosłych niepełnosprawnych intelektualnie (Publiczny),100,396/KR - 2021,79
Dom Pomocy Społecznej Chlebno,,Powiat pilski,"Chlebno 8,
									89-310
									Łobżenica",dla dorosłych niepełnosprawnych intelektualnie (Publiczny),80,398/KR - 2021,80
Dom Pomocy Społecznej Zimnowoda,,Powiat gostyński,"Zimnowoda 17,
									63-810
									Borek Wielkopolski",dla dorosłych niepełnosprawnych intelektualnie (Publiczny),67,404/KR - 2021,80
Dom Pomocy Społecznej Strzałkowo,,Powiat słupecki,"Pułaskiego 1,
									62-420
									Strzałkowo",dla dorosłych niepełnosprawnych intelektualnie (Publiczny),130,405/KR - 2021,80
Dom Pomocy Społecznej Broniszewice,,Powiat pleszewski,"Broniszewice 91,
									63-304
									Czermin",dla dzieci i młodzieży niepełnosprawnych intelektualnie (Publiczny),56,406/KR - 2021,80
Dom Pomocy Społecznej Poznań,,Poznań,"Świętego Rocha 13,
									61-142
									Poznań",dla dzieci i młodzieży niepełnosprawnych intelektualnie (Publiczny),60,413/KR - 2021,81
Dom Pomocy Społecznej Wielka Wieś,,Powiat wolsztyński,"Wielka Wieś 47,
									64-225
									Kopanica",- dla dzieci i młodzieży niepełnosprawnych intelektualnie (53 miejsca) - dla osób dorosłych niepełnosprawnych intelektualnie (7 miejsc) (Publiczny),60,418/KR - 2021,82
Zespół Domów Pomocy Społecznej Wieleń,,Powiat czarnkowsko-trzcianecki,"Stanisława Staszica 2,
									64-730
									Wieleń",- dla osób w podeszłym wieku (74 miejsca) - dla osób przewlekle somatycznie chorych (100 miejsc) - dla dorosłych niepełnosprawnych intelektualnie (80 miejsc) - dla osób niepełnosprawnych fizycznie (100 miejsc) (Publiczny),354,419/KR - 2021,82
Dom Pomocy Społecznej Zduny,,Powiat krotoszyński,"Mickiewicza 21,
									63-760
									Zduny",dla dzieci i młodzieży niepełnosprawnych intelektualnie (Publiczny),70,428/KR - 2021,83
Dom Pomocy Społecznej Chwałkowo,,Powiat gostyński,"Chwałkowo 74,
									63-840
									Krobia",dla dorosłych niepełnosprawnych intelektualnie (Publiczny),96,430/KR - 2021,83
Dom Pomocy Społecznej Gębice,,Powiat czarnkowsko-trzcianecki,"Kasztanowa 45,
									64-707
									Gębice",dla dorosłych niepełnosprawnych intelektualnie (Publiczny),63,433/KR - 2021,83
Dom Pomocy Społecznej Śledziejowice,,Powiat wielicki,"Śledziejowice 83,
									32-020
									Wieliczka",dla dorosłych niepełnosprawnych intelektualnie (Publiczny),12,435/KR - 2021,83
"Dom Pomocy Społecznej dla Dzieci, Młodzieży i Dorosłych Niepełnosprawnych Intelektualnie Tarnów",,Tarnów,"Robotnicza 4 ,
									33-100 
									Tarnów",dla dzieci i młodzieży niepełnosprawnych intelektualnie 56 miejsc dla osób dorosłych niepełnosprawnych intelektualnie - 24 miejsca (Publiczny),80,438/KR - 2021,84
Dom Pomocy Społecznej dla Dzieci  i Młodzieży Niepełnosprawnych Intelektualnie  w Białce Tatrzańskiej,,Powiat tatrzański,"Środkowa 186 ,
									34-405 
									Białka Tatrzańska",dla dzieci i młodzieży niepełnosprawnych intelektualnie (Publiczny),83,440/KR - 2021,84
Dom Pomocy Społecznej Bobrek,,Powiat oświęcimski,"Księżnej Ogińskiej 2,
									32-661
									Bobrek",dla dorosłych niepełnosprawnych intelektualnie (Publiczny),190,441/KR - 2021,84
Dom Pomocy Społecznej Caritas Archidiecezji Krakowskiej,,Powiat oświęcimski,"Jana Pawła II 3,
									32-640
									Zator",dla dorosłych niepełnosprawnych intelektualnie (Publiczny),52,443/KR - 2021,84
Dom Pomocy Społecznej dla Dzieci i Młodzieży w Jordanowie,,Powiat suski,"Rynek 45,
									34-240
									Jordanów",dla dzieci i młodzieży niepełnosprawnych intelektualnie (Publiczny),50,445/KR - 2021,85
Dom Pomocy Społecznej przy PSONI – Koło w Tarnowie,,Tarnów,"Heleny Modrzejewskiej 48,
									33-100
									Tarnów",dla dorosłych niepełnosprawnych intelektualnie (Publiczny),17,450/KR - 2021,85
Dom Pomocy Społecznej Karwodrza,,Powiat tarnowski,"Karwodrza 116,
									33-170
									Tuchów",dla dorosłych niepełnosprawnych intelektualnie (Publiczny),80,451/KR - 2021,85
Dom Pomocy Społecznej Jadowniki Mokre,,Powiat tarnowski,"Jadowniki Mokre 340,
									33-271
									Jadowniki Mokre",dla dzieci i młodzieży niepełnosprawnych intelektualnie (Publiczny),16,457/KR - 2021,86
"Dom Pomocy Społecznej prowadzony przez Zgromadzenie Sióstr Najświętszej Rodziny z Nazaretu, Prowincja Krakowska",,Powiat wadowicki,"Lwowska 31,
									34-100
									Wadowice",dla dzieci i młodzieży niepełnosprawnych intelektualnie - 60 miejsc dla osób dorosłych niepełnosprawnych - 10 miejsc (Publiczny),70,462/KR - 2021,86
Dom Pomocy Społecznej im. św. Brata Alberta,,Powiat wadowicki,"Dworska 150,
									34-144
									Izdebnik",dla dorosłych niepełnosprawnych intelektualnie (Publiczny),78,463/KR - 2021,87
Małopolski Dom Pomocy Społecznej Na Farmie Życia w Więckowicach,,Powiat krakowski,"Ogrodowa 17A,
									32-082
									Bolechowice",dla osób dorosłych niepełnosprawnych intelektualnie (Publiczny),13,468/KR - 2021,87
Dom Pomocy Społecznej w Mianocicach,,Powiat miechowski,"Mianocice 51,
									32-210
									Książ Wielki",dla dorosłych niepełnosprawnych intelektualnie (Publiczny),90,474/KR - 2021,88
Dom Pomocy Społecznej Miechów,,Powiat miechowski,"Warszawska 49A,
									32-200
									Miechów",dla dorosłych niepełnosprawnych intelektualnie (Publiczny),90,475/KR - 2021,88
Dom Pomocy Społecznej im. Tadeusza Piekarza Harbutowice,,Powiat myślenicki,"Harbutowice 1,
									32-440
									Sułkowice",dla dorosłych niepełnosprawnych intelektualnie (Publiczny),75,479/KR - 2021,88
Dom Pomocy Społecznej –Schronisko dla Niepełnosprawnych im. Brata Alberta,,Powiat krakowski,"Radwanowice 1 ,
									32-064
									Rudawa",dla dorosłych niepełnosprawnych intelektualnie (Publiczny),83,493/KR - 2021,90
Dom Pomocy Społecznej Nowa Huta,,Kraków,"Osiedle Hutnicze 5,
									31-917
									Kraków",dla osób przewlekle psychicznie chorych - 55 miejsc dla osób przewlekle somatycznie chorych - 45 miejsc  dla dorosłych niepełnosprawnych intelektualnie - 40 miejsc (Publiczny),140,503/KR - 2021,91
Dom Pomocy Społecznej Kraków,,Kraków,"Babińskiego 25,
									30-393
									Kraków",dla dorosłych niepełnosprawnych intelektualnie (Publiczny),87,504/KR - 2021,91
