nazwa_instytucji,badges,lokalizacja,adres,rodzaj_dzialalnosci,ilosc_miejsc,wpis_krdo,strona
Dom Pomocy Społecznej p.w św. Józefa Lyski,,Powiat rybnicki,"Rybnicka 7,
									44-295
									Lyski",osoby przewlekle psychicznie chore (Publiczny),124,2439/KR - 2021,164
Dom Pomocy Społecznej Zawiercie,,Powiat zawierciański,"Rzemieślnicza 9,
									42-400
									Zawiercie",osoby przewlekle psychicznie chore (Publiczny),162,2440/KR - 2021,165
Dom Pomocy Społecznej Senior Ruda Śląska,,Ruda Śląska,"ul. Puszkina 7,
									41-704
									Ruda Śląska",osoby przewlekle somatycznie chore (Publiczny),180,2441/KR - 2021,165
Dom Pomocy Społecznej Nr 1 Zabrze,,Zabrze,"Jana Matejki 62,
									41-800
									Zabrze",osoby w podeszłym wieku oraz osoby niepełnosprawne fizycznie (Publiczny),100,2442/KR - 2021,165
Dom Pomocy Społecznej Żywiec,,Powiat żywiecki,"Śliżowy Potok 8,
									34-300
									Żywiec",osoby w podeszłym wieku (Publiczny),100,2443/KR - 2021,165
Dom Pomocy Społecznej Caritas Diecezji Gliwickiej Wiśnicze,,Powiat gliwicki,"Wiejska 42A,
									44-187
									Wiśnicze",osoby w podeszłym wieku (Publiczny),100,2444/KR - 2021,165
Ośrodek Święta Elżbieta- Dom Pomocy Społecznej Ruda Śląska,,Ruda Śląska,"Wolności 30,
									41-700
									Ruda Śląska",osoby w podeszłym wieku (Publiczny),90,2445/KR - 2021,165
Dom Pomocy Społecznej św. Anna Tychy,,Tychy,"Mikołaja Kopernika 6,
									43-100
									Tychy",osoby stare (w podeszłym wieku) (Publiczny),54,2446/KR - 2021,165
Dom Pomocy Społecznej św. Wincentego Chorzów,,Chorzów,"Powstańców 45,
									41-500
									Chorzów",osoby w podeszłym wieku (Publiczny),82,2447/KR - 2021,165
Caritas Archidiecezji Katowickiej Ośrodek Św. Florian – Dom Pomocy Społecznej Chorzów,,Chorzów,"Aleja Harcerska 3,
									41-500
									Chorzów",osoby w podeszłym wieku (Publiczny),51,2448/KR - 2021,165
DPS dla Dorosłych Nazaret prowadzony przez Zgromadzenie Sióstr Służebniczek NMP Niepokalanie Poczętej Gliwice,,Gliwice,"Odrowążów 124,
									44-103
									Gliwice",osoby w podeszłym wieku (Publiczny),48,2450/KR - 2021,166
Dom Pomocy Społecznej-Ewangelicki Dom Opieki Ostoja Pokoju Bytom z filią Laryszów,,Bytom,"Matki Ewy 1,
									41-908
									Bytom Wolności 67,
									42-674 
									Laryszów",osoby w podeszłym wieku osoby w podeszłym wieku (Publiczny),79,2451/KR - 2021,166
Ewangelicki Dom Opieki Soar Bielsko-Biała,,Bielsko-Biała,"Andrzeja Frycza Modrzewskiego 25,
									43-300
									Bielsko-Biała","Dla osób niepełnosprawnych, przewlekle chorych lub w podeszłym wieku (Publiczny)",31,2452/KR - 2021,166
Ewangelicki Dom Opieki Emaus Dzięgielów,,Powiat cieszyński,"Księdza Karola Kulisza 47,
									43-445
									Dzięgielów",osoby w podeszłym wieku (Publiczny),89,2453/KR - 2021,166
